Entity,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength,C_sd,K_sd,S_sd,A_sd,V_range,V_min,V_max,Stress Capacity Ratio,Resilience Index,Envelope Midpoint,Envelope Delta
General Motors,2024,Shield,4.0,5.0,6.2,4.0,4.8,10.939,0.0,0.0,0.45,0.0,1.0,4.0,5.0,1.24,2.2666666666666666,4.5,0.2999999999999998
General Motors,2024,Stewards,5.0,6.0,5.2,5.0,8.3,13.867,0.0,0.0,0.45,0.0,1.0,7.5,8.5,0.8666666666666667,3.6,8.0,0.3000000000000007
General Motors,2025,Archive,4.8,6.2,4.8,5.0,8.7,14.472,0.45,0.45,0.45,0.0,3.0,7.5,10.5,0.7741935483870968,3.733333333333333,9.0,-0.3000000000000007
General Motors,2025,Craft,5.0,5.0,6.2,4.8,6.2,13.709,0.0,0.71,0.84,0.45,4.0,4.5,8.5,1.24,2.866666666666667,6.5,-0.2999999999999998
General Motors,2025,Flow,5.0,6.0,6.0,5.0,7.5,14.029,0.0,0.0,0.0,0.0,0.0,7.5,7.5,1.0,3.3333333333333335,7.5,0.0
General Motors,2025,Hands,5.0,5.2,5.8,4.0,6.4,13.11,0.0,0.45,0.45,0.0,2.0,6.0,8.0,1.1153846153846154,2.7999999999999994,7.0,-0.5999999999999996
General Motors,2025,Helm,5.0,6.0,6.0,6.2,8.1,15.185,0.71,0.0,0.71,0.45,3.5,7.0,10.5,1.0,3.733333333333333,8.75,-0.6500000000000004
General Motors,2025,Lore,4.6,6.2,5.2,6.2,8.7,15.115,0.55,0.45,0.45,0.45,3.5,7.0,10.5,0.8387096774193549,3.9333333333333336,8.75,-0.05000000000000071
General Motors,2025,Shield,5.0,5.0,6.2,5.0,6.3,13.909,0.0,0.0,0.45,0.0,1.0,5.5,6.5,1.24,2.9333333333333336,6.0,0.2999999999999998
General Motors,2025,Stewards,5.0,6.0,5.2,5.0,8.3,14.518,0.0,0.0,0.45,0.0,1.0,7.5,8.5,0.8666666666666667,3.6,8.0,0.3000000000000007
General Motors,2026,Archive,4.8,6.2,4.8,5.0,8.7,14.472,0.45,0.45,0.45,0.0,3.0,7.5,10.5,0.7741935483870968,3.733333333333333,9.0,-0.3000000000000007
General Motors,2026,Craft,5.0,6.0,6.2,4.8,7.2,13.709,0.0,0.71,0.84,0.45,4.0,5.5,9.5,1.0333333333333334,3.2000000000000006,7.5,-0.2999999999999998
General Motors,2026,Flow,5.0,6.0,6.0,5.0,7.5,14.029,0.0,0.0,0.0,0.0,0.0,7.5,7.5,1.0,3.3333333333333335,7.5,0.0
General Motors,2026,Hands,5.0,5.2,5.8,4.0,6.4,13.11,0.0,0.45,0.45,0.0,2.0,6.0,8.0,1.1153846153846154,2.7999999999999994,7.0,-0.5999999999999996
General Motors,2026,Helm,5.0,6.0,6.0,6.2,8.1,15.185,0.71,0.0,0.71,0.45,3.5,7.0,10.5,1.0,3.733333333333333,8.75,-0.6500000000000004
General Motors,2026,Lore,4.6,6.2,5.2,6.2,8.7,15.115,0.55,0.45,0.45,0.45,3.5,7.0,10.5,0.8387096774193549,3.9333333333333336,8.75,-0.05000000000000071
General Motors,2026,Shield,5.0,5.0,6.2,5.0,6.3,13.909,0.0,0.0,0.45,0.0,1.0,5.5,6.5,1.24,2.9333333333333336,6.0,0.2999999999999998
General Motors,2026,Stewards,5.0,6.0,5.2,5.0,8.3,14.518,0.0,0.0,0.45,0.0,1.0,7.5,8.5,0.8666666666666667,3.6,8.0,0.3000000000000007
