Year,Node,Coherence_G,Capacity_G,Stress_G,Abstraction_G,Coherence_K,Capacity_K,Stress_K,Abstraction_K,Society
1926,Hands,7,7,5,6,6,7.0,6,6,Germany
1926,Archive,9,9,2,9,8,8.0,5,8,Germany
1926,Flow,7,7,4,8,7,8.0,5,9,Germany
1927,Helm,6,6,4,7,7,7.0,5,8,Germany
1927,Shield,8,5,3,7,7,8.0,5,7,Germany
1927,Lore,8,9,3,10,8,8.0,4,9,Germany
1927,Stewards,7,8,4,8,7,8.0,5,8,Germany
1927,Craft,8,8,3,8,8,9.0,4,9,Germany
1927,Hands,7,7,4,6,6,8.0,6,6,Germany
1927,Archive,9,9,2,9,8,8.0,4,8,Germany
1927,Flow,8,8,4,8,8,8.0,5,9,Germany
1928,Helm,6,7,4,7,7,7.0,5,8,Germany
1928,Shield,8,5,3,7,7,8.0,5,7,Germany
1928,Lore,8,9,3,10,8,8.0,4,9,Germany
1928,Stewards,7,8,4,8,7,8.0,5,8,Germany
1928,Craft,8,9,3,8,8,9.0,4,9,Germany
1928,Hands,7,7,4,6,6,8.0,6,6,Germany
1928,Archive,9,9,2,9,8,8.0,4,8,Germany
1928,Flow,8,8,4,8,8,9.0,5,9,Germany
1929,Helm,5,6,6,7,7,7.0,6,8,Germany
1929,Shield,8,5,3,7,7,8.0,5,7,Germany
1929,Lore,8,9,3,10,8,8.0,5,9,Germany
1929,Stewards,5,6,7,8,7,8.0,6,8,Germany
1929,Craft,8,8,4,8,8,9.0,5,9,Germany
1929,Hands,6,6,7,6,6,7.0,7,6,Germany
1929,Archive,9,9,2,9,8,8.0,5,8,Germany
1929,Flow,5,6,8,8,8,8.0,6,9,Germany
1930,Helm,3,4,9,6,5,6.0,8,8,Germany
1930,Shield,7,5,4,7,7,8.0,6,7,Germany
1930,Lore,7,8,5,10,7,7.0,7,9,Germany
1930,Stewards,3,4,9,7,5,6.0,8,8,Germany
1930,Craft,7,7,6,8,7,8.0,7,9,Germany
1930,Hands,3,4,10,5,4,6.0,9,6,Germany
1930,Archive,9,9,4,9,7,7.0,7,8,Germany
1930,Flow,2,3,10,7,6,7.0,8,8,Germany
1931,Helm,3,4,9,6,4,5.0,9,7,Germany
1931,Shield,7,5,4,7,7,7.0,7,7,Germany
1931,Lore,7,8,5,10,6,7.0,8,9,Germany
1931,Stewards,2,3,10,7,4,5.0,9,7,Germany
1931,Craft,6,6,8,8,6,7.0,8,9,Germany
1931,Hands,2,3,10,5,3,5.0,10,5,Germany
1931,Archive,9,9,4,9,7,7.0,8,8,Germany
1931,Flow,2,3,10,7,5,6.0,9,8,Germany
1932,Helm,3,4,10,6,3,4.0,10,7,Germany
1932,Shield,8,5,4,7,6,7.0,8,7,Germany
1932,Lore,7,8,5,10,6,6.0,9,9,Germany
1932,Stewards,2,3,10,7,3,4.0,10,7,Germany
1932,Craft,6,6,8,8,5,6.0,9,9,Germany
1932,Hands,2,3,10,5,3,4.0,10,5,Germany
1932,Archive,9,9,4,9,6,6.0,9,8,Germany
1932,Flow,1,2,10,7,4,5.0,10,8,Germany
1933,Helm,7,7,7,7,7,7.0,7,8,Germany
1933,Shield,6,6,6,8,8,8.0,6,8,Germany
1933,Lore,4,6,8,7,6,7.0,8,9,Germany
1933,Stewards,6,6,6,7,6,7.0,7,8,Germany
1933,Craft,7,7,5,8,6,8.0,7,9,Germany
1933,Hands,6,6,7,5,5,6.0,8,6,Germany
1933,Archive,9,9,3,9,7,7.0,7,8,Germany
1933,Flow,5,5,7,7,6,7.0,7,8,Germany
1934,Helm,8,8,5,8,8,8.0,6,8,Germany
1934,Shield,9,8,4,9,9,8.0,5,8,Germany
1934,Lore,5,7,7,8,7,8.0,6,9,Germany
1934,Stewards,7,7,5,8,7,8.0,6,8,Germany
1934,Craft,8,9,4,9,7,8.0,6,9,Germany
1934,Hands,7,7,5,6,6,7.0,7,6,Germany
1934,Archive,10,10,2,10,8,8.0,6,8,Germany
1934,Flow,6,7,6,8,7,8.0,6,8,Germany
1935,Helm,8,9,4,8,8,8.0,5,8,Germany
1935,Shield,8,8,4,9,9,9.0,4,8,Germany
1935,Lore,6,7,6,8,7,8.0,5,9,Germany
1935,Stewards,8,8,4,8,7,8.0,5,8,Germany
1935,Craft,9,9,3,9,8,9.0,5,9,Germany
1935,Hands,8,8,4,6,6,7.0,6,6,Germany
1935,Archive,10,10,2,10,8,8.0,5,8,Germany
1935,Flow,7,8,5,8,7,8.0,5,8,Germany
1936,Helm,8,9,4,8,9,9.0,4,9,Germany
1936,Shield,8,9,4,10,9,9.0,4,8,Germany
1936,Lore,6,7,6,8,8,8.0,5,9,Germany
1936,Stewards,8,8,4,8,8,8.0,5,8,Germany
1936,Craft,9,10,3,9,9,9.0,4,9,Germany
1936,Hands,8,8,4,6,7,8.0,6,7,Germany
1936,Archive,10,10,2,10,8,8.0,5,8,Germany
1936,Flow,7,8,6,8,8,8.0,5,8,Germany
1937,Helm,8,8,4,8,9,9.0,4,9,Germany
1937,Shield,8,9,4,10,9,9.0,4,8,Germany
1937,Lore,5,7,6,8,8,8.0,5,9,Germany
1937,Stewards,8,8,4,8,8,9.0,5,8,Germany
1937,Craft,9,9,3,9,9,9.0,4,9,Germany
1937,Hands,8,8,4,6,7,8.0,6,7,Germany
1937,Archive,10,10,2,10,8,8.0,5,8,Germany
1937,Flow,7,7,6,8,8,8.0,5,8,Germany
1938,Helm,7,8,5,8,9,9.0,4,9,Germany
1938,Shield,9,9,4,10,9,9.0,4,8,Germany
1938,Lore,5,7,6,8,8,8.0,5,9,Germany
1938,Stewards,8,8,5,8,8,9.0,5,8,Germany
1938,Craft,9,9,4,9,9,9.0,4,9,Germany
1938,Hands,8,8,5,6,7,8.0,6,7,Germany
1938,Archive,10,10,2,10,8,8.0,5,8,Germany
1938,Flow,6,7,7,8,8,9.0,5,8,Germany
1939,Helm,9,9,4,9,8,9.0,5,9,Germany
1939,Shield,10,10,5,10,9,9.0,5,8,Germany
1939,Lore,5,7,6,9,8,8.0,6,9,Germany
1939,Stewards,8,8,6,8,8,9.0,6,8,Germany
1939,Craft,9,10,4,10,9,9.0,5,9,Germany
1939,Hands,8,8,6,6,7,8.0,7,7,Germany
1939,Archive,10,10,2,10,8,8.0,6,8,Germany
1939,Flow,5,6,8,8,8,8.0,6,8,Germany
1940,Helm,9,10,4,9,8,9.0,5,9,Germany
1940,Shield,10,10,4,10,9,9.0,5,9,Germany
1940,Lore,5,8,6,9,8,8.0,6,9,Germany
1940,Stewards,8,9,5,8,8,9.0,6,8,Germany
1940,Craft,9,10,4,10,9,9.0,5,9,Germany
1940,Hands,7,8,7,6,7,8.0,7,7,Germany
1940,Archive,10,10,2,10,8,8.0,6,8,Germany
1940,Flow,7,8,6,8,8,8.0,6,8,Germany
1941,Helm,8,10,5,9,8,9.0,6,9,Germany
1941,Shield,10,10,6,10,9,9.0,6,9,Germany
1941,Lore,5,8,6,10,7,8.0,7,9,Germany
1941,Stewards,7,9,6,8,7,8.0,7,8,Germany
1941,Craft,9,10,5,10,9,9.0,6,9,Germany
1941,Hands,6,8,8,6,6,8.0,8,7,Germany
1941,Archive,10,10,3,10,8,8.0,7,8,Germany
1941,Flow,6,8,7,8,7,8.0,7,8,Germany
1942,Helm,7,9,6,8,8,9.0,6,9,Germany
1942,Shield,9,9,8,10,9,9.0,6,9,Germany
1942,Lore,5,8,7,10,7,8.0,7,9,Germany
1942,Stewards,6,8,7,8,7,8.0,8,8,Germany
1942,Craft,9,10,5,10,9,9.0,6,9,Germany
1942,Hands,5,7,9,6,6,7.0,8,7,Germany
1942,Archive,10,10,3,10,7,8.0,7,8,Germany
1942,Flow,5,7,8,8,7,8.0,8,8,Germany
1943,Helm,6,8,7,8,8,9.0,7,9,Germany
1943,Shield,8,8,9,10,9,9.0,7,9,Germany
1943,Lore,5,8,8,10,7,8.0,8,9,Germany
1943,Stewards,5,7,8,8,6,8.0,8,8,Germany
1943,Craft,10,10,6,10,9,9.0,7,9,Germany
1943,Hands,4,6,10,6,5,7.0,9,7,Germany
1943,Archive,10,10,4,10,7,8.0,8,8,Germany
1943,Flow,4,6,9,8,6,7.0,9,8,Germany
1944,Helm,4,6,9,8,7,8.0,8,9,Germany
1944,Shield,5,6,10,9,8,9.0,8,9,Germany
1944,Lore,4,6,9,9,6,7.0,9,9,Germany
1944,Stewards,4,5,10,8,5,7.0,9,8,Germany
1944,Craft,8,8,8,10,8,9.0,8,9,Germany
1944,Hands,2,4,10,6,5,6.0,9,7,Germany
1944,Archive,9,9,6,10,6,7.0,9,8,Germany
1944,Flow,2,3,10,8,5,6.0,9,8,Germany
1945,Helm,2,2,10,7,4,4.0,10,8,Germany
1945,Shield,2,2,10,8,5,5.0,10,8,Germany
1945,Lore,2,2,10,8,4,5.0,10,8,Germany
1945,Stewards,1,1,10,7,3,4.0,10,7,Germany
1945,Craft,3,3,10,8,5,5.0,10,8,Germany
1945,Hands,1,1,10,5,3,4.0,10,6,Germany
1945,Archive,6,5,9,9,5,5.0,10,7,Germany
1945,Flow,1,1,10,7,3,4.0,10,7,Germany
1946,Helm,2,2,8,6,4,5.0,9,7,Germany
1946,Shield,1,1,9,4,4,5.0,9,7,Germany
1946,Lore,3,4,7,7,5,6.0,9,8,Germany
1946,Stewards,2,2,9,6,4,5.0,9,7,Germany
1946,Craft,4,5,7,7,5,6.0,9,8,Germany
1946,Hands,5,5,8,5,4,5.0,9,6,Germany
1946,Archive,6,6,5,8,6,6.0,9,8,Germany
1946,Flow,2,2,10,6,4,5.0,9,7,Germany
1947,Helm,2,3,8,6,5,5.0,8,7,Germany
1947,Shield,1,1,9,4,5,6.0,8,7,Germany
1947,Lore,4,4,7,7,5,6.0,8,8,Germany
1947,Stewards,2,3,9,6,4,5.0,9,7,Germany
1947,Craft,5,6,7,8,5,6.0,8,8,Germany
1947,Hands,6,6,8,5,4,5.0,9,6,Germany
1947,Archive,7,7,5,8,6,6.0,8,8,Germany
1947,Flow,2,2,10,6,4,5.0,9,7,Germany
1948,Helm,4,5,7,7,6,6.0,7,8,Germany
1948,Shield,1,1,8,4,6,7.0,7,7,Germany
1948,Lore,5,5,6,8,6,7.0,7,8,Germany
1948,Stewards,5,6,6,8,6,7.0,7,8,Germany
1948,Craft,7,7,5,8,6,7.0,7,8,Germany
1948,Hands,7,7,6,6,5,6.0,8,6,Germany
1948,Archive,8,8,4,9,7,7.0,7,8,Germany
1948,Flow,7,7,5,8,6,7.0,7,8,Germany
1949,Helm,6,6,6,8,7,7.0,6,8,Germany
1949,Shield,1,2,7,5,7,8.0,6,7,Germany
1949,Lore,6,7,5,8,7,7.0,6,8,Germany
1949,Stewards,6,7,5,8,7,8.0,6,8,Germany
1949,Craft,8,8,4,9,7,8.0,6,9,Germany
1949,Hands,8,8,5,6,6,7.0,7,6,Germany
1949,Archive,9,9,3,9,7,8.0,6,8,Germany
1949,Flow,8,8,4,8,7,8.0,6,8,Germany
1950,Helm,7,7,5,8,7,8.0,5,8,Germany
1950,Shield,1,2,6,5,8,8.0,5,7,Germany
1950,Lore,7,8,4,9,7,8.0,5,9,Germany
1950,Stewards,7,8,4,9,8,8.0,5,8,Germany
1950,Craft,9,9,3,9,8,9.0,5,9,Germany
1950,Hands,8,9,4,6,7,8.0,6,7,Germany
1950,Archive,9,9,2,10,8,8.0,5,8,Germany
1950,Flow,9,9,3,9,8,8.0,5,8,Germany
1951,Helm,7,7,4,8,8,8.0,5,8,Germany
1951,Shield,2,2,5,6,8,9.0,4,8,Germany
1951,Lore,8,8,3,9,7,8.0,5,9,Germany
1951,Stewards,8,9,3,9,8,9.0,5,8,Germany
1951,Craft,9,9,2,9,8,9.0,4,9,Germany
1951,Hands,8,9,3,7,7,8.0,5,7,Germany
1951,Archive,9,9,2,10,8,8.0,5,8,Germany
1951,Flow,9,10,2,9,8,9.0,5,9,Germany
1952,Helm,8,8,3,9,8,8.0,5,8,Germany
1952,Shield,2,3,4,6,8,9.0,4,8,Germany
1952,Lore,8,9,3,9,7,8.0,5,9,Germany
1952,Stewards,9,9,2,9,8,9.0,5,8,Germany
1952,Craft,9,10,2,10,9,9.0,4,9,Germany
1952,Hands,9,9,3,7,7,8.0,5,7,Germany
1952,Archive,10,10,2,10,8,8.0,5,8,Germany
1952,Flow,10,10,2,10,8,9.0,5,9,Germany
1953,Helm,8,8,3,9,8,8.0,6,8,Germany
1953,Shield,3,3,4,7,8,9.0,5,8,Germany
1953,Lore,8,9,3,9,7,8.0,6,9,Germany
1953,Stewards,9,10,2,10,8,9.0,5,8,Germany
1953,Craft,10,10,2,10,9,9.0,4,9,Germany
1953,Hands,9,10,3,7,7,8.0,6,7,Germany
1953,Archive,10,10,2,10,8,8.0,5,8,Germany
1953,Flow,10,10,2,10,8,9.0,5,9,Germany
1954,Helm,8,9,3,9,8,8.0,5,8,Germany
1954,Shield,4,4,3,8,8,9.0,4,8,Germany
1954,Lore,9,9,2,10,8,8.0,5,9,Germany
1954,Stewards,9,10,2,10,8,9.0,4,8,Germany
1954,Craft,10,10,2,10,9,9.0,4,9,Germany
1954,Hands,9,10,2,7,8,8.0,5,7,Germany
1954,Archive,10,10,2,10,8,8.0,4,8,Germany
1954,Flow,10,10,2,10,8,9.0,4,9,Germany
1955,Helm,9,9,2,9,8,9.0,4,8,Germany
1955,Shield,6,6,3,8,9,9.0,4,8,Germany
1955,Lore,9,10,2,10,8,8.0,4,9,Germany
1955,Stewards,10,10,2,10,8,9.0,4,8,Germany
1955,Craft,10,10,1,10,9,9.0,4,9,Germany
1955,Hands,9,10,2,8,8,9.0,4,7,Germany
1955,Archive,10,10,2,10,8,9.0,4,8,Germany
1955,Flow,10,10,1,10,9,9.0,4,9,Germany
1956,Helm,9,8,2,8,8,9.0,4,8,Germany
1956,Shield,7,6,3,8,9,9.0,4,8,Germany
1956,Lore,8,9,2,9,8,8.0,4,9,Germany
1956,Stewards,10,10,2,10,9,9.0,4,8,Germany
1956,Craft,10,10,1,10,9,9.0,4,9,Germany
1956,Hands,9,9,2,7,8,9.0,4,7,Germany
1956,Archive,10,10,2,10,8,9.0,4,8,Germany
1956,Flow,10,10,2,10,9,9.0,4,9,Germany
1957,Helm,9,9,2,9,8,9.0,4,8,Germany
1957,Shield,7,7,3,8,9,9.0,4,8,Germany
1957,Lore,9,9,2,9,8,8.0,4,9,Germany
1957,Stewards,10,10,1,10,9,9.0,4,8,Germany
1957,Craft,10,10,1,10,9,9.0,4,9,Germany
1957,Hands,9,9,2,7,8,9.0,4,7,Germany
1957,Archive,10,10,2,10,8,9.0,4,8,Germany
1957,Flow,10,10,1,10,9,9.0,4,9,Germany
1958,Helm,9,9,2,9,8,9.0,4,8,Germany
1958,Shield,7,7,3,8,9,9.0,4,8,Germany
1958,Lore,9,9,2,9,8,8.0,4,9,Germany
1958,Stewards,10,10,1,10,9,9.0,4,8,Germany
1958,Craft,10,10,1,10,9,9.0,4,9,Germany
1958,Hands,9,9,2,7,8,9.0,4,7,Germany
1958,Archive,10,10,2,10,8,9.0,4,8,Germany
1958,Flow,10,10,1,10,9,9.0,4,9,Germany
1959,Helm,9,9,2,9,8,9.0,4,8,Germany
1959,Shield,7,8,3,8,9,9.0,4,8,Germany
1959,Lore,9,9,2,9,8,8.0,4,9,Germany
1959,Stewards,10,10,1,10,9,9.0,4,8,Germany
1959,Craft,10,10,1,10,9,9.0,4,9,Germany
1959,Hands,9,9,2,7,8,9.0,4,7,Germany
1959,Archive,10,10,2,10,8,9.0,4,8,Germany
1959,Flow,10,10,1,10,9,9.0,4,9,Germany
1960,Helm,8,9,3,9,8,9.0,4,8,Germany
1960,Shield,8,8,3,8,9,9.0,4,8,Germany
1960,Lore,9,9,2,9,8,9.0,4,9,Germany
1960,Stewards,10,10,1,10,9,9.0,4,8,Germany
1960,Craft,10,10,1,10,9,9.0,4,9,Germany
1960,Hands,9,10,2,8,9,9.0,4,7,Germany
1960,Archive,10,10,2,10,8,9.0,4,8,Germany
1960,Flow,10,10,1,10,9,9.0,4,9,Germany
1961,Helm,8,9,4,9,8,9.0,4,8,Germany
1961,Shield,8,8,5,8,9,9.0,4,8,Germany
1961,Lore,9,9,3,9,8,9.0,4,9,Germany
1961,Stewards,10,10,2,10,9,9.0,4,8,Germany
1961,Craft,10,10,1,10,9,9.0,4,9,Germany
1961,Hands,9,10,2,8,9,9.0,4,7,Germany
1961,Archive,10,10,2,10,8,9.0,4,8,Germany
1961,Flow,10,10,1,10,9,9.0,4,9,Germany
1962,Helm,6,8,6,9,8,9.0,4,8,Germany
1962,Shield,8,8,4,8,9,9.0,4,8,Germany
1962,Lore,7,9,5,9,8,9.0,4,9,Germany
1962,Stewards,9,10,2,10,9,9.0,4,8,Germany
1962,Craft,10,10,2,10,9,9.0,4,9,Germany
1962,Hands,9,10,2,8,9,9.0,4,7,Germany
1962,Archive,10,10,2,10,8,9.0,4,8,Germany
1962,Flow,10,10,2,10,9,9.0,4,9,Germany
1963,Helm,7,8,4,9,8,9.0,4,8,Germany
1963,Shield,8,8,4,8,9,9.0,4,8,Germany
1963,Lore,8,9,3,9,8,9.0,4,9,Germany
1963,Stewards,9,9,3,9,9,9.0,4,8,Germany
1963,Craft,10,10,2,10,9,9.0,4,9,Germany
1963,Hands,9,10,2,8,9,9.0,4,7,Germany
1963,Archive,10,10,2,10,8,9.0,4,8,Germany
1963,Flow,10,10,2,10,9,9.0,4,9,Germany
1964,Helm,7,8,3,8,8,9.0,4,8,Germany
1964,Shield,8,8,3,8,9,9.0,4,8,Germany
1964,Lore,8,9,2,9,8,9.0,4,9,Germany
1964,Stewards,9,10,2,10,9,9.0,4,8,Germany
1964,Craft,10,10,2,10,9,9.0,4,9,Germany
1964,Hands,9,10,2,8,9,9.0,4,7,Germany
1964,Archive,10,10,2,10,8,9.0,4,8,Germany
1964,Flow,10,10,2,10,9,9.0,4,9,Germany
1965,Helm,6,8,4,8,8,9.0,4,8,Germany
1965,Shield,8,8,4,8,9,9.0,4,8,Germany
1965,Lore,8,9,3,9,8,9.0,4,9,Germany
1965,Stewards,8,9,4,9,9,9.0,4,8,Germany
1965,Craft,9,10,2,10,9,9.0,4,9,Germany
1965,Hands,9,10,2,8,9,9.0,4,7,Germany
1965,Archive,10,10,2,10,8,9.0,4,8,Germany
1965,Flow,9,10,3,10,9,9.0,4,9,Germany
1966,Helm,4,7,6,8,7,8.0,6,8,Germany
1966,Shield,8,8,4,8,9,9.0,4,8,Germany
1966,Lore,8,9,4,9,8,8.0,5,9,Germany
1966,Stewards,7,8,5,9,8,8.0,6,8,Germany
1966,Craft,9,9,3,10,9,9.0,5,9,Germany
1966,Hands,8,8,5,8,8,9.0,5,7,Germany
1966,Archive,10,10,2,10,8,9.0,4,8,Germany
1966,Flow,7,7,6,9,8,9.0,5,9,Germany
1967,Helm,6,8,5,8,7,8.0,6,8,Germany
1967,Shield,8,8,3,8,9,9.0,4,8,Germany
1967,Lore,4,8,7,9,8,8.0,5,9,Germany
1967,Stewards,8,9,3,9,8,8.0,6,8,Germany
1967,Craft,9,10,2,10,8,9.0,5,9,Germany
1967,Hands,8,9,3,7,8,8.0,6,7,Germany
1967,Archive,10,10,2,10,8,8.0,5,8,Germany
1967,Flow,9,10,2,9,8,8.0,6,9,Germany
1968,Helm,6,8,6,8,7,8.0,6,8,Germany
1968,Shield,8,8,3,8,9,9.0,4,8,Germany
1968,Lore,3,7,9,9,7,8.0,6,9,Germany
1968,Stewards,8,9,3,9,8,8.0,6,8,Germany
1968,Craft,9,10,2,10,8,9.0,5,9,Germany
1968,Hands,7,8,4,7,8,8.0,6,7,Germany
1968,Archive,10,10,2,10,8,8.0,5,8,Germany
1968,Flow,9,10,2,9,8,8.0,6,9,Germany
1969,Helm,7,8,5,8,7,8.0,6,8,Germany
1969,Shield,8,8,3,8,9,9.0,4,8,Germany
1969,Lore,4,8,7,9,7,8.0,6,9,Germany
1969,Stewards,8,9,3,9,8,9.0,5,8,Germany
1969,Craft,9,10,2,10,9,9.0,5,9,Germany
1969,Hands,8,9,3,7,8,8.0,6,7,Germany
1969,Archive,10,10,2,10,8,9.0,5,8,Germany
1969,Flow,9,10,2,9,8,9.0,5,9,Germany
1970,Helm,8,8,4,9,8,8.0,5,8,Germany
1970,Shield,8,8,3,8,9,9.0,4,8,Germany
1970,Lore,5,8,6,9,7,8.0,6,9,Germany
1970,Stewards,8,9,3,9,8,9.0,5,8,Germany
1970,Craft,9,10,2,10,9,9.0,5,9,Germany
1970,Hands,7,9,4,7,8,9.0,5,7,Germany
1970,Archive,10,10,2,10,8,9.0,5,8,Germany
1970,Flow,9,10,2,9,9,9.0,5,9,Germany
1971,Helm,8,8,4,9,8,8.0,5,8,Germany
1971,Shield,8,8,3,8,9,9.0,4,8,Germany
1971,Lore,5,8,6,9,7,8.0,6,9,Germany
1971,Stewards,8,9,3,9,8,9.0,5,8,Germany
1971,Craft,9,10,2,10,9,9.0,5,9,Germany
1971,Hands,7,9,4,7,8,9.0,5,7,Germany
1971,Archive,10,10,2,10,8,9.0,5,8,Germany
1971,Flow,9,10,2,9,9,9.0,5,9,Germany
1972,Helm,5,7,6,9,8,8.0,5,8,Germany
1972,Shield,7,7,6,8,9,9.0,4,8,Germany
1972,Lore,5,8,6,9,7,8.0,6,9,Germany
1972,Stewards,8,9,3,9,8,9.0,5,8,Germany
1972,Craft,9,10,2,10,9,9.0,5,9,Germany
1972,Hands,7,9,4,7,8,9.0,5,7,Germany
1972,Archive,10,10,2,10,8,9.0,5,8,Germany
1972,Flow,9,10,2,9,9,9.0,5,9,Germany
1973,Helm,7,8,5,9,7,8.0,7,8,Germany
1973,Shield,8,8,5,9,9,9.0,5,8,Germany
1973,Lore,6,8,5,9,7,8.0,7,9,Germany
1973,Stewards,7,8,6,9,8,8.0,7,8,Germany
1973,Craft,9,10,4,10,9,9.0,6,9,Germany
1973,Hands,7,8,5,7,7,8.0,7,7,Germany
1973,Archive,10,10,2,10,8,8.0,6,8,Germany
1973,Flow,6,7,8,9,8,8.0,7,9,Germany
1974,Helm,4,7,7,8,6,7.0,8,8,Germany
1974,Shield,8,8,5,9,9,9.0,5,8,Germany
1974,Lore,6,8,5,9,7,8.0,7,9,Germany
1974,Stewards,7,8,5,9,8,8.0,7,8,Germany
1974,Craft,9,10,4,10,9,9.0,6,9,Germany
1974,Hands,7,8,5,7,7,8.0,7,7,Germany
1974,Archive,10,10,2,10,8,8.0,6,8,Germany
1975,Helm,7,8,5,8,7,8.0,6,8,Germany
1975,Shield,8,8,5,9,9,9.0,5,8,Germany
1975,Lore,6,8,5,9,7,8.0,6,9,Germany
1975,Stewards,7,8,5,9,8,9.0,6,8,Germany
1975,Craft,9,10,4,10,9,9.0,5,9,Germany
1975,Hands,7,8,5,7,8,8.0,6,7,Germany
1975,Archive,10,10,2,10,8,9.0,5,8,Germany
1975,Flow,8,8,5,9,8,9.0,6,9,Germany
1976,Helm,7,8,4,8,7,8.0,6,8,Germany
1976,Shield,8,8,4,8,9,9.0,5,8,Germany
1976,Lore,6,8,5,9,7,8.0,6,9,Germany
1976,Stewards,8,9,3,9,8,9.0,6,8,Germany
1976,Craft,9,10,2,10,9,9.0,5,9,Germany
1976,Hands,8,9,3,7,8,8.0,6,7,Germany
1976,Archive,10,10,2,10,8,9.0,5,8,Germany
1976,Flow,9,10,2,9,8,9.0,6,9,Germany
1977,Helm,8,8,7,8,6,8.0,8,8,Germany
1977,Shield,8,9,7,9,9,9.0,6,8,Germany
1977,Lore,5,8,6,9,6,8.0,8,9,Germany
1977,Stewards,8,9,3,9,8,8.0,7,8,Germany
1977,Craft,9,10,2,10,9,9.0,6,9,Germany
1977,Hands,8,9,3,7,7,8.0,8,7,Germany
1977,Archive,10,10,2,10,8,8.0,7,8,Germany
1977,Flow,9,10,3,9,8,8.0,7,9,Germany
1978,Helm,8,9,4,9,7,8.0,6,8,Germany
1978,Shield,9,9,3,9,9,9.0,5,8,Germany
1978,Lore,6,8,5,9,7,8.0,6,9,Germany
1978,Stewards,8,9,3,9,8,9.0,6,8,Germany
1978,Craft,9,10,2,10,9,9.0,5,9,Germany
1978,Hands,8,9,4,7,8,8.0,6,7,Germany
1978,Archive,10,10,2,10,8,9.0,5,8,Germany
1978,Flow,9,10,2,9,8,9.0,6,9,Germany
1979,Helm,7,8,5,8,7,8.0,6,8,Germany
1979,Shield,8,9,3,9,9,9.0,5,8,Germany
1979,Lore,6,8,5,9,7,8.0,6,9,Germany
1979,Stewards,8,9,4,9,8,9.0,6,8,Germany
1979,Craft,9,10,2,10,9,9.0,5,9,Germany
1979,Hands,7,8,5,7,8,8.0,6,7,Germany
1979,Archive,10,10,2,10,8,9.0,5,8,Germany
1979,Flow,8,9,5,9,8,9.0,6,9,Germany
1980,Helm,7,8,4,8,7,8.0,6,8,Germany
1980,Shield,8,9,3,9,9,9.0,5,8,Germany
1980,Lore,7,8,5,9,7,8.0,6,9,Germany
1980,Stewards,8,9,4,9,8,9.0,6,8,Germany
1980,Craft,9,10,2,10,9,9.0,5,9,Germany
1980,Hands,7,8,5,7,8,8.0,6,7,Germany
1980,Archive,10,10,2,10,8,9.0,5,8,Germany
1980,Flow,8,9,5,9,8,9.0,6,9,Germany
1981,Helm,6,7,6,8,7,8.0,7,8,Germany
1981,Shield,8,8,4,9,9,9.0,5,8,Germany
1981,Lore,5,8,7,9,7,8.0,7,9,Germany
1981,Stewards,7,8,6,9,8,8.0,7,8,Germany
1981,Craft,9,10,3,10,9,9.0,6,9,Germany
1981,Hands,6,7,7,7,7,8.0,7,7,Germany
1981,Archive,10,10,2,10,8,8.0,6,8,Germany
1981,Flow,7,8,6,9,8,8.0,7,9,Germany
1982,Helm,4,7,8,8,6,7.0,8,8,Germany
1982,Shield,8,8,4,9,9,9.0,5,8,Germany
1982,Lore,6,8,5,9,7,8.0,7,9,Germany
1982,Stewards,7,8,5,9,7,8.0,7,8,Germany
1982,Craft,9,10,3,10,9,9.0,6,9,Germany
1982,Hands,6,7,6,7,7,8.0,7,7,Germany
1982,Archive,10,10,2,10,8,8.0,6,8,Germany
1982,Flow,8,8,5,9,8,8.0,7,9,Germany
1983,Helm,7,8,4,9,7,8.0,6,8,Germany
1983,Shield,9,9,4,10,9,9.0,5,8,Germany
1983,Lore,6,8,7,10,7,8.0,6,9,Germany
1983,Stewards,8,9,4,9,8,9.0,6,8,Germany
1983,Craft,9,10,3,10,9,9.0,5,9,Germany
1983,Hands,7,8,6,7,8,8.0,6,7,Germany
1983,Archive,10,10,2,10,8,9.0,5,8,Germany
1983,Flow,9,9,4,9,8,9.0,6,9,Germany
1984,Helm,8,8,3,9,8,8.0,5,8,Germany
1984,Shield,9,9,3,10,9,9.0,4,8,Germany
1984,Lore,7,8,5,10,7,8.0,5,9,Germany
1984,Stewards,8,9,3,9,8,9.0,5,8,Germany
1984,Craft,9,10,2,10,9,9.0,5,9,Germany
1984,Hands,7,8,5,7,8,9.0,5,7,Germany
1984,Archive,10,10,2,10,8,9.0,5,8,Germany
1984,Flow,9,10,3,10,9,9.0,5,9,Germany
1985,Helm,8,8,3,8,8,8.0,5,8,Germany
1985,Shield,9,9,3,9,9,9.0,4,8,Germany
1985,Lore,7,8,4,9,7,8.0,5,9,Germany
1985,Stewards,8,9,3,9,8,9.0,5,8,Germany
1985,Craft,9,10,2,10,9,9.0,5,9,Germany
1985,Hands,7,8,5,7,8,9.0,5,7,Germany
1985,Archive,10,10,2,10,8,9.0,5,8,Germany
1985,Flow,9,10,3,10,9,9.0,5,9,Germany
1986,Helm,8,8,3,8,8,8.0,5,8,Germany
1986,Shield,9,9,3,9,9,9.0,4,8,Germany
1986,Lore,7,8,4,9,7,8.0,5,9,Germany
1986,Stewards,8,9,3,9,8,9.0,5,8,Germany
