Society,Year,Node,C_sd,K_sd,S_sd,A_sd
Iran,1939,Flow,1.483,0.707,1.414,1.14
Iran,1939,Hands,0.837,1.304,1.095,1.095
Iran,1939,Helm,1.643,0.548,1.14,0.707
Iran,1939,Lore,1.304,1.095,0.447,1.581
Iran,1939,Shield,0.707,1.095,0.548,1.225
Iran,1939,Stewards,0.837,1.304,1.342,1.643
Iran,1940,Archive,1.095,1.14,0.894,1.14
Iran,1940,Craft,1.304,0.837,1.414,1.304
Iran,1940,Flow,1.304,0.837,1.095,0.837
Iran,1940,Hands,1.14,1.14,0.837,1.342
Iran,1940,Helm,0.548,1.14,1.643,1.095
Iran,1940,Lore,0.894,0.837,1.14,0.837
Iran,1940,Shield,1.517,0.837,0.837,1.414
Iran,1940,Stewards,0.447,1.14,1.14,1.304
Iran,1941,Archive,1.225,1.581,0.837,0.837
Iran,1941,Craft,1.643,0.447,0.837,1.643
Iran,1941,Flow,1.304,1.483,1.789,1.517
Iran,1941,Hands,1.581,1.095,1.483,2.302
Iran,1941,Helm,1.14,1.871,1.342,0.837
Iran,1941,Lore,1.342,1.304,1.304,1.095
Iran,1941,Shield,1.643,1.304,1.0,1.871
Iran,1941,Stewards,1.095,1.643,1.483,0.447
Iran,1942,Archive,0.837,0.837,1.095,0.707
Iran,1942,Craft,1.14,1.14,0.894,1.414
Iran,1942,Flow,0.837,2.074,2.0,1.817
Iran,1942,Hands,0.894,1.095,1.304,1.0
Iran,1942,Helm,0.837,2.0,0.707,1.517
Iran,1942,Lore,0.837,0.0,1.643,0.447
Iran,1942,Shield,1.517,1.304,1.643,1.225
Iran,1942,Stewards,0.548,0.837,1.342,1.14
Iran,1943,Archive,1.14,0.837,0.447,0.707
Iran,1943,Craft,1.14,0.837,0.0,1.0
Iran,1943,Flow,0.548,0.837,1.871,2.0
Iran,1943,Hands,1.14,1.342,0.548,1.517
Iran,1943,Helm,0.447,1.0,1.817,1.483
Iran,1943,Lore,0.894,0.837,1.225,1.517
Iran,1943,Shield,1.342,1.14,1.414,0.837
Iran,1943,Stewards,1.14,0.548,0.837,1.14
Iran,1944,Archive,1.14,1.0,0.837,1.225
Iran,1944,Craft,0.837,1.14,1.342,1.225
Iran,1944,Flow,1.095,1.414,1.949,1.789
Iran,1944,Hands,0.707,1.581,1.14,0.447
Iran,1944,Helm,2.0,1.643,1.095,1.14
Iran,1944,Lore,1.14,1.304,0.548,1.095
Iran,1944,Shield,1.095,1.789,2.074,1.0
Iran,1944,Stewards,0.894,1.304,1.14,1.225
Iran,1945,Archive,0.707,0.548,1.14,1.517
Iran,1945,Craft,0.837,0.0,0.707,1.0
Iran,1945,Flow,1.14,1.14,1.342,1.949
Iran,1945,Hands,0.894,0.894,0.447,1.225
Iran,1945,Helm,1.581,0.894,2.302,2.049
Iran,1945,Lore,1.14,0.894,0.707,0.837
Iran,1945,Shield,1.095,0.837,0.894,1.643
Iran,1945,Stewards,0.837,1.14,1.304,1.095
Iran,1946,Archive,0.548,0.894,0.894,1.304
Iran,1946,Craft,0.837,1.14,0.548,0.707
Iran,1946,Flow,0.837,1.304,1.095,1.14
Iran,1946,Hands,1.14,0.548,0.447,0.837
Iran,1946,Helm,1.14,1.789,1.789,2.121
Iran,1946,Lore,1.304,1.14,1.304,1.14
Iran,1946,Shield,1.871,2.049,2.074,1.095
Iran,1946,Stewards,1.581,0.447,1.304,1.304
Iran,1947,Archive,1.095,1.095,0.837,0.548
Iran,1947,Craft,1.414,1.304,0.837,0.837
Iran,1947,Flow,1.0,1.643,0.894,0.548
Iran,1947,Hands,1.14,0.894,0.894,0.837
Iran,1947,Helm,0.894,1.14,1.14,2.345
Iran,1947,Lore,0.707,0.894,0.837,1.304
Iran,1947,Shield,0.707,1.483,1.949,1.789
Iran,1947,Stewards,1.414,1.483,1.517,0.707
Iran,1948,Archive,1.483,1.643,1.483,0.837
Iran,1948,Craft,1.304,0.447,1.14,1.304
Iran,1948,Flow,0.837,1.14,1.095,1.14
Iran,1948,Hands,1.414,0.837,0.0,0.894
Iran,1948,Helm,0.837,0.707,0.894,0.837
Iran,1948,Lore,1.483,1.643,1.225,1.581
Iran,1948,Shield,0.548,1.095,1.095,1.342
Iran,1948,Stewards,1.643,0.548,0.447,1.304
Iran,1949,Archive,1.095,1.0,1.304,0.837
Iran,1949,Craft,1.517,1.517,0.894,0.894
Iran,1949,Flow,1.304,1.414,1.304,0.837
Iran,1949,Hands,1.342,1.342,0.837,0.837
Iran,1949,Helm,1.304,1.342,0.894,1.14
Iran,1949,Lore,1.414,1.14,1.342,1.225
Iran,1949,Shield,0.894,0.837,1.581,1.643
Iran,1949,Stewards,0.707,1.304,0.447,0.548
Iran,1950,Archive,1.225,1.483,1.0,1.581
Iran,1950,Craft,1.304,0.837,1.643,0.894
Iran,1950,Flow,1.581,0.894,0.837,0.548
Iran,1950,Hands,1.517,0.837,1.304,0.894
Iran,1950,Helm,0.894,0.548,1.095,1.304
Iran,1950,Lore,1.304,1.14,0.447,0.837
Iran,1950,Shield,0.894,1.304,1.14,1.643
Iran,1950,Stewards,0.894,0.548,0.837,1.517
Iran,1951,Archive,1.095,1.342,1.095,1.517
Iran,1951,Craft,1.304,0.894,1.14,1.414
Iran,1951,Flow,1.304,2.074,1.414,1.483
Iran,1951,Hands,1.0,0.894,1.0,1.0
Iran,1951,Helm,1.095,1.581,1.14,1.414
Iran,1951,Lore,1.095,0.447,1.304,0.894
Iran,1951,Shield,0.837,0.548,1.304,1.414
Iran,1951,Stewards,0.0,0.548,1.643,0.707
Iran,1952,Archive,1.483,0.707,1.14,1.414
Iran,1952,Craft,0.548,1.0,0.837,1.304
Iran,1952,Flow,0.837,2.0,0.894,0.548
Iran,1952,Hands,0.837,1.14,1.14,0.707
Iran,1952,Helm,0.894,1.0,1.949,1.673
Iran,1952,Lore,0.548,0.837,0.837,1.304
Iran,1952,Shield,0.894,1.789,1.14,1.342
Iran,1952,Stewards,0.548,2.074,2.168,1.414
Iran,1953,Archive,0.894,1.673,1.483,1.14
Iran,1953,Craft,1.304,0.837,1.304,1.949
Iran,1953,Flow,0.0,1.0,1.095,1.581
Iran,1953,Hands,1.643,1.225,1.342,2.049
Iran,1953,Helm,0.548,1.225,1.581,1.483
Iran,1953,Lore,1.643,2.049,2.121,0.548
Iran,1953,Shield,1.483,1.342,1.581,1.789
Iran,1953,Stewards,1.643,1.225,2.168,1.949
Iran,1954,Archive,0.548,0.894,0.548,1.0
Iran,1954,Craft,0.548,1.14,1.342,0.548
Iran,1954,Flow,0.894,0.894,0.548,1.14
Iran,1954,Hands,1.095,1.304,1.304,1.14
Iran,1954,Helm,1.0,1.14,1.581,1.643
Iran,1954,Lore,0.548,0.548,0.894,0.548
Iran,1954,Shield,1.0,1.14,1.0,1.304
Iran,1954,Stewards,1.342,1.095,0.548,1.304
Iran,1955,Archive,0.707,0.707,1.14,0.837
Iran,1955,Craft,1.643,0.707,1.304,0.707
Iran,1955,Flow,0.837,1.304,1.0,0.548
Iran,1955,Hands,1.517,1.225,1.095,0.707
Iran,1955,Helm,1.304,0.837,1.0,1.304
Iran,1955,Lore,0.894,1.581,1.304,1.0
Iran,1955,Shield,0.894,1.581,1.304,1.14
Iran,1955,Stewards,0.894,1.304,1.225,1.0
Iran,1956,Archive,0.894,0.837,0.837,1.14
Iran,1956,Craft,1.14,0.837,0.894,1.0
Iran,1956,Flow,1.14,1.095,0.707,0.707
Iran,1956,Hands,1.14,0.447,0.837,1.414
Iran,1956,Helm,1.095,0.894,0.894,1.14
Iran,1956,Lore,1.304,1.517,1.0,1.14
Iran,1956,Shield,1.0,0.707,1.304,0.447
Iran,1956,Stewards,1.095,1.14,0.837,1.414
Iran,1957,Archive,0.837,0.447,1.643,0.548
Iran,1957,Craft,1.14,1.0,0.837,0.548
Iran,1957,Flow,1.095,1.304,1.483,0.837
Iran,1957,Hands,1.225,1.342,1.14,0.894
Iran,1957,Helm,1.0,1.483,0.707,1.517
Iran,1957,Lore,1.304,0.837,0.548,0.548
Iran,1957,Shield,1.483,0.837,1.14,1.304
Iran,1957,Stewards,1.14,0.837,1.14,0.447
Iran,1958,Archive,1.225,1.304,0.707,0.894
Iran,1958,Craft,1.14,1.304,1.643,0.894
Iran,1958,Flow,0.548,1.483,0.548,0.548
Iran,1958,Hands,1.304,1.342,1.483,1.14
Iran,1958,Helm,1.304,1.414,0.447,1.14
Iran,1958,Lore,0.707,0.837,1.14,1.14
Iran,1958,Shield,0.707,0.447,0.894,1.483
Iran,1958,Stewards,0.548,0.548,0.837,1.304
Iran,1959,Archive,1.342,0.548,1.517,0.894
Iran,1959,Craft,0.837,1.304,1.643,0.548
Iran,1959,Flow,0.894,0.707,0.837,0.837
Iran,1959,Hands,0.837,1.414,1.414,0.548
Iran,1959,Helm,1.581,0.837,1.304,0.837
Iran,1959,Lore,0.837,1.14,0.548,0.548
Iran,1959,Shield,1.225,0.894,0.837,1.14
Iran,1959,Stewards,1.14,1.304,0.837,0.837
Iran,1960,Archive,0.894,1.483,0.894,1.517
Iran,1960,Craft,1.095,0.837,0.447,0.447
Iran,1960,Flow,0.548,0.837,0.837,0.894
Iran,1960,Hands,0.707,0.548,0.894,0.548
Iran,1960,Helm,0.548,1.414,1.14,1.0
Iran,1960,Lore,0.894,1.14,0.837,1.14
Iran,1960,Shield,1.095,0.548,0.894,1.304
Iran,1960,Stewards,0.894,1.581,1.581,0.837
Iran,1961,Archive,0.837,1.0,0.548,0.837
Iran,1961,Craft,0.894,1.342,0.447,0.548
Iran,1961,Flow,0.837,0.548,0.447,0.447
Iran,1961,Hands,1.483,0.837,1.14,1.342
Iran,1961,Helm,0.548,1.581,1.14,1.304
Iran,1961,Lore,1.14,1.304,0.837,0.548
Iran,1961,Shield,1.304,0.447,1.14,0.837
Iran,1961,Stewards,0.837,1.225,0.837,1.14
Iran,1962,Archive,1.14,0.837,0.837,0.548
Iran,1962,Craft,0.548,0.548,1.517,0.894
Iran,1962,Flow,0.894,1.14,1.414,1.0
Iran,1962,Hands,1.0,1.14,1.517,1.643
Iran,1962,Helm,1.0,0.548,1.304,0.837
Iran,1962,Lore,1.14,1.095,0.894,1.342
Iran,1962,Shield,0.837,1.0,1.14,1.342
Iran,1962,Stewards,1.14,0.548,1.095,1.14
Iran,1963,Archive,0.548,1.304,1.14,1.0
Iran,1963,Craft,1.14,1.225,0.837,0.837
Iran,1963,Flow,1.304,1.304,1.517,1.414
Iran,1963,Hands,0.548,1.0,0.894,0.548
Iran,1963,Helm,0.837,0.837,1.304,0.894
Iran,1963,Lore,0.894,0.837,0.707,0.894
Iran,1963,Shield,1.14,0.837,1.14,1.095
Iran,1963,Stewards,1.095,1.14,1.0,1.304
Iran,1964,Archive,1.517,0.894,1.517,0.837
Iran,1964,Craft,1.095,1.14,0.894,1.225
Iran,1964,Flow,0.837,0.894,0.548,1.0
Iran,1964,Hands,1.0,0.707,1.304,1.225
Iran,1964,Helm,1.14,0.548,0.894,1.14
Iran,1964,Lore,1.095,1.225,1.304,1.095
Iran,1964,Shield,1.581,0.837,1.14,0.894
Iran,1964,Stewards,1.14,1.342,0.548,1.14
Iran,1965,Archive,1.095,0.837,0.447,0.707
Iran,1965,Craft,1.225,1.483,1.414,0.548
Iran,1965,Flow,0.447,1.483,0.837,0.837
Iran,1965,Hands,1.095,0.837,1.517,0.548
Iran,1965,Helm,1.225,1.0,0.837,0.894
Iran,1965,Lore,1.0,0.894,1.225,1.483
Iran,1965,Shield,0.548,1.643,1.304,0.548
Iran,1965,Stewards,0.447,1.581,1.304,0.837
Iran,1966,Archive,1.0,1.643,1.14,1.095
Iran,1966,Craft,0.837,0.548,1.304,1.095
Iran,1966,Flow,1.342,0.894,0.707,1.304
Iran,1966,Hands,1.517,0.837,1.304,1.14
Iran,1966,Helm,1.095,1.304,0.837,1.581
Iran,1966,Lore,0.707,0.548,0.837,0.447
Iran,1966,Shield,1.095,1.14,1.304,1.581
Iran,1966,Stewards,1.14,0.837,0.837,1.342
Iran,1967,Archive,1.14,1.517,1.581,1.342
Iran,1967,Craft,0.837,1.14,0.837,1.0
Iran,1967,Flow,0.548,0.837,0.707,0.837
Iran,1967,Hands,0.894,1.581,1.14,1.414
Iran,1967,Helm,0.894,1.304,0.837,0.837
Iran,1967,Lore,1.14,1.095,0.837,0.837
Iran,1967,Shield,0.447,0.837,1.304,0.837
Iran,1967,Stewards,1.14,1.225,1.14,1.0
Iran,1968,Archive,0.837,1.342,1.342,1.095
Iran,1968,Craft,1.342,1.0,1.14,1.095
Iran,1968,Flow,1.643,0.837,1.225,1.14
Iran,1968,Hands,0.707,0.894,1.304,1.304
Iran,1968,Helm,1.0,1.581,1.0,0.707
Iran,1968,Lore,1.342,0.837,1.14,1.095
Iran,1968,Shield,0.837,1.304,1.643,1.095
Iran,1968,Stewards,1.414,0.548,1.304,1.414
Iran,1969,Archive,1.14,0.837,1.095,0.894
Iran,1969,Craft,1.581,0.837,0.837,1.304
Iran,1969,Flow,0.894,0.548,1.304,0.707
Iran,1969,Hands,1.304,0.894,0.894,1.14
Iran,1969,Helm,1.581,0.837,1.414,0.707
Iran,1969,Lore,1.095,1.0,1.225,0.548
Iran,1969,Shield,1.517,1.581,1.14,0.837
Iran,1969,Stewards,0.894,0.837,1.14,0.837
Iran,1970,Archive,1.304,0.894,0.837,1.14
Iran,1970,Craft,1.14,1.14,1.517,0.837
Iran,1970,Flow,0.548,1.14,0.837,1.304
Iran,1970,Hands,1.14,1.304,0.894,1.517
Iran,1970,Helm,0.894,0.894,1.517,0.707
Iran,1970,Lore,0.837,1.304,1.304,1.414
Iran,1970,Shield,0.548,1.0,1.414,1.0
Iran,1970,Stewards,1.342,0.707,1.0,0.447
Iran,1971,Archive,0.548,1.304,1.095,0.894
Iran,1971,Craft,1.304,0.548,0.548,1.581
Iran,1971,Flow,1.095,0.707,1.095,1.095
Iran,1971,Hands,0.548,0.707,0.548,1.581
Iran,1971,Helm,1.14,1.483,0.548,0.837
Iran,1971,Lore,1.483,0.548,1.517,0.894
Iran,1971,Shield,1.14,0.548,1.643,1.225
Iran,1971,Stewards,0.837,1.225,0.837,1.304
Iran,1972,Archive,0.548,0.894,0.894,1.14
Iran,1972,Craft,0.447,1.14,0.447,0.548
Iran,1972,Flow,1.643,1.414,1.483,1.304
Iran,1972,Hands,1.225,0.894,0.894,0.837
Iran,1972,Helm,1.414,1.095,1.225,1.095
Iran,1972,Lore,1.643,0.548,1.581,1.304
Iran,1972,Shield,0.837,0.894,1.225,0.837
Iran,1972,Stewards,0.837,1.0,0.548,0.837
Iran,1973,Archive,1.304,0.447,0.447,0.447
Iran,1973,Craft,1.0,0.837,1.095,0.894
Iran,1973,Flow,1.483,0.837,1.14,1.304
Iran,1973,Hands,1.14,1.517,1.14,1.304
Iran,1973,Helm,1.225,1.0,0.707,1.14
Iran,1973,Lore,1.14,0.837,1.095,0.837
Iran,1973,Shield,0.447,1.14,0.894,1.414
Iran,1973,Stewards,0.837,0.548,1.14,1.304
Iran,1974,Archive,0.894,0.837,1.304,1.14
Iran,1974,Craft,0.837,1.225,0.837,0.548
Iran,1974,Flow,1.304,1.483,1.095,1.14
Iran,1974,Hands,0.707,0.894,1.517,0.548
Iran,1974,Helm,1.0,1.581,0.837,0.837
Iran,1974,Lore,0.707,1.304,0.894,1.342
Iran,1974,Shield,1.095,0.707,1.304,0.447
Iran,1974,Stewards,1.095,0.707,0.837,0.894
Iran,1975,Archive,1.581,0.548,1.14,0.548
Iran,1975,Craft,1.304,0.837,0.707,0.707
Iran,1975,Flow,1.14,1.225,0.548,1.342
Iran,1975,Hands,1.225,0.837,1.304,1.342
Iran,1975,Helm,0.894,0.548,0.894,1.643
Iran,1975,Lore,0.837,1.643,0.837,0.894
Iran,1975,Shield,1.304,1.342,1.304,1.14
Iran,1975,Stewards,0.707,1.095,0.894,1.304
Iran,1976,Archive,0.837,1.483,1.14,0.447
Iran,1976,Craft,0.707,0.837,1.304,1.304
Iran,1976,Flow,0.837,0.447,0.447,1.414
Iran,1976,Hands,0.447,0.837,1.304,0.837
Iran,1976,Helm,1.095,1.304,1.304,1.0
Iran,1976,Lore,0.548,0.837,0.837,1.225
Iran,1976,Shield,0.837,1.14,0.837,1.095
Iran,1976,Stewards,0.837,1.414,0.548,1.095
Iran,1977,Archive,1.0,0.548,1.0,1.14
Iran,1977,Craft,1.095,0.894,1.095,0.894
Iran,1977,Flow,0.894,1.095,0.707,0.707
Iran,1977,Hands,1.095,0.837,0.447,1.14
Iran,1977,Helm,0.707,1.095,0.894,0.837
Iran,1977,Lore,0.837,1.304,0.894,1.483
Iran,1977,Shield,0.837,1.643,1.14,1.225
Iran,1977,Stewards,1.225,0.894,0.837,0.707
Iran,1978,Archive,1.871,1.304,1.304,0.707
Iran,1978,Craft,0.894,1.517,2.121,2.049
Iran,1978,Flow,1.581,1.924,0.548,1.673
Iran,1978,Hands,1.342,1.095,1.673,2.049
Iran,1978,Helm,0.548,1.483,1.14,1.304
Iran,1978,Lore,1.673,1.673,1.581,1.483
Iran,1978,Shield,1.14,1.342,0.894,1.095
Iran,1978,Stewards,1.789,1.581,1.732,2.28
Iran,1979,Archive,1.517,0.837,1.581,1.0
Iran,1979,Craft,0.548,1.14,1.342,1.304
Iran,1979,Flow,1.304,1.14,1.414,1.517
Iran,1979,Hands,1.14,0.447,1.14,1.517
Iran,1979,Helm,0.894,1.789,0.837,1.225
Iran,1979,Lore,1.414,1.517,1.789,1.517
Iran,1979,Shield,0.837,0.837,1.342,1.483
Iran,1979,Stewards,1.14,1.581,1.414,1.789
Iran,1980,Archive,0.707,1.0,1.949,0.894
Iran,1980,Craft,1.643,1.517,0.447,2.0
Iran,1980,Flow,1.304,1.342,1.095,1.673
Iran,1980,Hands,1.304,1.817,1.483,2.302
Iran,1980,Helm,1.517,0.894,1.0,1.14
Iran,1980,Lore,1.817,1.581,1.095,2.408
Iran,1980,Shield,0.548,1.304,1.673,1.304
Iran,1980,Stewards,1.643,1.342,0.447,1.14
Iran,1981,Archive,0.707,1.924,1.871,1.304
Iran,1981,Craft,1.342,0.837,1.949,1.517
Iran,1981,Flow,1.225,1.342,1.517,2.345
Iran,1981,Hands,1.342,0.894,0.548,1.924
Iran,1981,Helm,1.517,1.581,0.707,1.643
Iran,1981,Lore,1.304,1.924,0.548,1.0
Iran,1981,Shield,1.517,1.949,1.304,1.14
Iran,1981,Stewards,1.225,1.581,1.643,1.342
Iran,1982,Archive,1.924,1.304,1.14,2.49
Iran,1982,Craft,0.894,1.304,1.924,1.949
Iran,1982,Flow,1.095,0.837,1.949,1.304
Iran,1982,Hands,1.924,1.0,1.304,1.304
Iran,1982,Helm,1.14,1.342,0.548,2.074
Iran,1982,Lore,1.14,2.28,1.225,1.517
Iran,1982,Shield,0.837,1.304,0.447,0.894
Iran,1982,Stewards,1.517,1.304,1.304,1.095
Iran,1983,Archive,0.837,1.924,2.0,1.789
Iran,1983,Craft,1.304,1.517,1.817,1.14
Iran,1983,Flow,0.548,1.581,1.517,1.581
Iran,1983,Hands,1.304,1.304,0.837,1.14
Iran,1983,Helm,1.14,1.517,2.074,1.14
Iran,1983,Lore,1.095,0.548,1.414,0.894
Iran,1983,Shield,1.414,2.191,1.342,1.342
Iran,1983,Stewards,1.304,1.342,2.302,1.14
Iran,1984,Archive,1.581,2.168,1.342,1.949
Iran,1984,Craft,0.447,2.121,1.517,2.074
Iran,1984,Flow,2.302,1.643,1.517,2.049
Iran,1984,Hands,2.0,1.095,1.871,1.673
Iran,1984,Helm,1.095,1.304,2.49,1.924
Iran,1984,Lore,1.414,1.14,1.483,1.14
Iran,1984,Shield,1.0,2.049,2.345,1.304
Iran,1984,Stewards,1.817,1.304,1.14,1.304
Iran,1985,Archive,1.789,1.643,1.789,2.121
Iran,1985,Craft,1.673,1.0,0.894,1.225
Iran,1985,Flow,1.14,1.643,1.414,1.14
Iran,1985,Hands,1.304,1.924,2.049,1.581
Iran,1985,Helm,2.51,1.643,1.817,2.168
Iran,1985,Lore,0.707,1.14,1.517,1.14
Iran,1985,Shield,1.304,1.304,1.517,1.517
Iran,1985,Stewards,1.871,2.702,2.302,2.387
Iran,1986,Archive,1.581,2.345,0.894,2.074
Iran,1986,Craft,1.673,0.837,2.0,1.581
Iran,1986,Flow,1.789,1.789,1.14,0.837
Iran,1986,Hands,1.789,1.581,1.342,1.817
Iran,1986,Helm,2.0,1.14,1.924,1.949
Iran,1986,Lore,1.14,0.894,1.095,0.707
Iran,1986,Shield,1.643,1.817,2.0,1.225
Iran,1986,Stewards,0.894,2.121,0.707,2.074
Iran,1987,Archive,1.095,1.14,0.837,1.304
Iran,1987,Craft,1.0,0.837,2.074,1.517
Iran,1987,Flow,1.095,2.28,0.447,1.342
Iran,1987,Hands,1.14,1.581,0.0,1.673
Iran,1987,Helm,1.517,2.049,1.304,1.14
Iran,1987,Lore,0.837,0.837,1.414,0.837
Iran,1987,Shield,1.483,2.168,1.817,0.894
Iran,1987,Stewards,0.894,1.483,2.236,1.095
Iran,1988,Archive,1.304,1.342,0.447,1.581
Iran,1988,Craft,2.074,1.304,2.0,1.095
Iran,1988,Flow,1.14,1.949,1.789,1.095
Iran,1988,Hands,1.817,0.894,1.414,1.517
Iran,1988,Helm,1.304,2.387,1.924,1.871
Iran,1988,Lore,0.548,0.837,0.707,1.304
Iran,1988,Shield,1.342,1.304,1.871,2.302
Iran,1988,Stewards,1.517,0.707,1.14,1.483
Iran,1989,Archive,1.095,0.837,0.837,1.483
Iran,1989,Craft,1.14,0.447,1.095,1.342
Iran,1989,Flow,0.548,1.517,1.414,1.14
Iran,1989,Hands,0.707,1.0,0.894,0.707
Iran,1989,Helm,0.837,0.548,0.447,1.14
Iran,1989,Lore,1.304,1.095,0.837,0.837
Iran,1989,Shield,1.14,1.095,1.414,1.483
Iran,1989,Stewards,0.707,1.095,0.837,0.837
Iran,1990,Archive,1.304,1.14,0.548,0.894
Iran,1990,Craft,1.14,0.447,1.095,1.342
Iran,1990,Flow,0.707,1.304,0.707,1.095
Iran,1990,Hands,1.095,1.0,0.707,0.837
Iran,1990,Helm,0.837,1.0,0.837,1.483
Iran,1990,Lore,0.707,1.095,1.095,1.14
Iran,1990,Shield,0.548,0.707,0.707,1.517
Iran,1990,Stewards,1.581,0.837,1.581,0.447
Iran,1991,Archive,1.517,1.414,1.304,0.447
Iran,1991,Craft,1.225,0.837,1.414,1.14
Iran,1991,Flow,1.14,1.14,1.483,1.095
Iran,1991,Hands,1.225,0.548,0.837,0.447
Iran,1991,Helm,1.225,1.095,1.643,0.707
Iran,1991,Lore,1.14,1.304,1.342,1.14
Iran,1991,Shield,0.548,1.225,0.837,0.707
Iran,1991,Stewards,1.342,0.548,1.304,0.894
Iran,1992,Archive,1.304,0.837,0.707,1.225
Iran,1992,Craft,0.548,1.14,0.0,1.14
Iran,1992,Flow,0.707,0.837,0.548,1.14
Iran,1992,Hands,1.225,0.707,0.707,0.447
Iran,1992,Helm,1.342,1.225,0.837,0.837
Iran,1992,Lore,1.304,0.837,0.894,1.14
Iran,1992,Shield,1.643,0.837,0.447,0.548
Iran,1992,Stewards,1.517,0.447,1.581,1.14
Iran,1993,Archive,1.643,0.837,0.894,0.837
Iran,1993,Craft,1.414,1.0,1.342,0.894
Iran,1993,Flow,1.095,0.894,1.304,0.894
Iran,1993,Hands,0.548,0.837,0.837,1.095
Iran,1993,Helm,0.837,0.837,0.837,0.707
Iran,1993,Lore,0.837,0.837,0.837,1.095
Iran,1993,Shield,1.342,1.095,1.0,1.517
Iran,1993,Stewards,0.894,1.225,1.0,1.225
Iran,1994,Archive,1.304,1.14,1.304,1.581
Iran,1994,Craft,1.414,1.517,0.707,1.304
Iran,1994,Flow,1.0,0.837,1.414,1.414
Iran,1994,Hands,0.894,0.837,1.304,0.447
Iran,1994,Helm,1.304,1.225,1.304,0.837
Iran,1994,Lore,1.225,0.548,0.548,1.0
Iran,1994,Shield,0.837,0.447,0.707,1.643
Iran,1994,Stewards,1.0,0.837,1.14,0.837
Iran,1995,Archive,0.894,0.707,0.707,0.548
Iran,1995,Craft,1.304,0.837,0.894,0.707
Iran,1995,Flow,1.095,1.304,1.304,1.517
Iran,1995,Hands,1.14,0.894,0.447,0.707
Iran,1995,Helm,0.837,0.707,1.304,1.517
Iran,1995,Lore,1.225,1.095,1.342,1.342
Iran,1995,Shield,0.837,1.304,0.894,1.14
Iran,1995,Stewards,1.304,1.483,1.14,1.342
Iran,1996,Archive,1.0,1.304,1.0,0.707
Iran,1996,Craft,1.0,0.837,1.225,1.342
Iran,1996,Flow,0.548,0.707,0.837,1.304
Iran,1996,Hands,0.447,1.14,0.447,0.707
Iran,1996,Helm,1.095,1.581,0.837,0.894
Iran,1996,Lore,1.643,0.707,0.447,1.095
Iran,1996,Shield,0.548,1.14,1.14,1.304
Iran,1996,Stewards,0.894,1.304,1.304,0.837
Iran,1997,Archive,0.447,1.14,1.304,1.342
Iran,1997,Craft,0.894,1.225,0.707,1.095
Iran,1997,Flow,1.483,0.707,0.548,1.517
Iran,1997,Hands,1.304,0.707,0.837,1.225
Iran,1997,Helm,0.548,1.14,0.447,0.837
Iran,1997,Lore,0.894,0.837,0.837,1.095
Iran,1997,Shield,0.837,0.447,1.643,1.225
Iran,1997,Stewards,0.894,1.14,0.707,1.0
Iran,1998,Archive,1.225,1.14,0.894,0.447
Iran,1998,Craft,1.14,0.837,1.304,1.304
Iran,1998,Flow,1.225,0.837,0.894,1.14
Iran,1998,Hands,0.894,1.342,1.643,1.304
Iran,1998,Helm,1.095,1.581,1.225,0.837
Iran,1998,Lore,0.837,1.304,0.894,0.447
Iran,1998,Shield,1.483,1.0,1.517,1.095
Iran,1998,Stewards,0.837,1.304,1.095,1.0
Iran,1999,Archive,1.483,1.14,1.14,0.447
Iran,1999,Craft,1.304,0.707,1.0,0.894
Iran,1999,Flow,0.894,1.0,0.707,1.0
Iran,1999,Hands,0.894,1.14,1.414,1.304
Iran,1999,Helm,1.095,0.447,1.581,0.707
Iran,1999,Lore,0.707,1.414,1.14,1.304
Iran,1999,Shield,0.707,1.304,1.14,0.894
Iran,1999,Stewards,0.447,1.643,1.14,1.414
Iran,2000,Archive,0.894,0.447,1.517,0.894
Iran,2000,Craft,0.837,1.14,1.342,0.707
Iran,2000,Flow,0.837,1.14,1.517,0.707
Iran,2000,Hands,0.894,0.894,1.304,1.304
Iran,2000,Helm,1.0,1.304,1.14,1.483
Iran,2000,Lore,1.14,1.414,1.095,1.14
Iran,2000,Shield,1.14,0.707,1.643,1.14
Iran,2000,Stewards,0.548,1.304,1.095,0.837
Iran,2001,Archive,1.225,0.894,0.837,1.095
Iran,2001,Craft,0.548,0.447,0.837,1.225
Iran,2001,Flow,0.707,1.483,1.304,1.581
Iran,2001,Hands,1.225,0.837,1.342,1.14
Iran,2001,Helm,0.894,1.0,0.837,1.304
Iran,2001,Lore,0.548,1.483,0.837,1.095
Iran,2001,Shield,1.095,0.837,1.304,0.447
Iran,2001,Stewards,0.894,1.342,1.14,1.14
Iran,2002,Archive,0.707,0.894,1.14,1.581
Iran,2002,Craft,1.0,0.707,0.548,0.548
Iran,2002,Flow,1.14,0.894,0.894,0.548
Iran,2002,Hands,1.517,1.095,1.304,1.414
Iran,2002,Helm,1.414,1.304,0.548,0.894
Iran,2002,Lore,1.0,1.342,0.894,1.14
Iran,2002,Shield,1.14,1.342,1.517,1.0
Iran,2002,Stewards,0.548,1.14,1.14,0.837
Iran,2003,Archive,0.894,0.707,1.304,1.342
Iran,2003,Craft,1.414,1.342,1.643,0.707
Iran,2003,Flow,1.304,0.837,1.414,1.414
Iran,2003,Hands,0.707,1.414,1.095,0.548
Iran,2003,Helm,0.894,0.837,0.837,1.304
