Society,Year,Node,C_sd,K_sd,S_sd,A_sd,V_range,V_min,V_max,n_eff,NA_rate,bond_n
Socialist Republic of Vietnam,1994,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,1994,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1994,Stewards,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,1994,Craft,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,1994,Hands,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5,0.0,28
Socialist Republic of Vietnam,1994,Archive,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,1994,Flow,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,1995,Helm,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,1995,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,1995,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1995,Stewards,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,1995,Craft,0.0,0.0,0.0,0.0,0.0,11.5,11.5,5,0.0,28
Socialist Republic of Vietnam,1995,Hands,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5,0.0,28
Socialist Republic of Vietnam,1995,Archive,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,1995,Flow,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,1996,Helm,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,1996,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,1996,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1996,Stewards,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,1996,Craft,0.0,0.0,0.0,0.0,0.0,11.5,11.5,5,0.0,28
Socialist Republic of Vietnam,1996,Hands,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5,0.0,28
Socialist Republic of Vietnam,1996,Archive,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,1996,Flow,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,1997,Helm,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,1997,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,1997,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1997,Stewards,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1997,Craft,0.0,0.0,0.0,0.0,0.0,11.5,11.5,5,0.0,28
Socialist Republic of Vietnam,1997,Hands,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5,0.0,28
Socialist Republic of Vietnam,1997,Archive,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,1997,Flow,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1998,Helm,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,1998,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,1998,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1998,Stewards,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1998,Craft,0.0,0.0,0.0,0.0,0.0,11.5,11.5,5,0.0,28
Socialist Republic of Vietnam,1998,Hands,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5,0.0,28
Socialist Republic of Vietnam,1998,Archive,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,1998,Flow,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1999,Helm,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,1999,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,1999,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,1999,Stewards,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,1999,Craft,0.0,0.0,0.0,0.0,0.0,11.5,11.5,5,0.0,28
Socialist Republic of Vietnam,1999,Hands,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5,0.0,28
Socialist Republic of Vietnam,1999,Archive,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,1999,Flow,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2000,Helm,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2000,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2000,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,2000,Stewards,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2000,Craft,0.0,0.0,0.0,0.0,0.0,11.5,11.5,5,0.0,28
Socialist Republic of Vietnam,2000,Hands,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5,0.0,28
Socialist Republic of Vietnam,2000,Archive,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,2000,Flow,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2001,Helm,0.84,0.0,0.0,0.0,2.0,12.0,14.0,5,0.0,28
Socialist Republic of Vietnam,2001,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2001,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,2001,Stewards,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2001,Craft,0.0,0.0,0.0,0.0,0.0,11.5,11.5,5,0.0,28
Socialist Republic of Vietnam,2001,Hands,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5,0.0,28
Socialist Republic of Vietnam,2001,Archive,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,2001,Flow,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2002,Helm,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2002,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2002,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,2002,Stewards,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2002,Craft,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2002,Hands,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5,0.0,28
Socialist Republic of Vietnam,2002,Archive,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,2002,Flow,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2003,Helm,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2003,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2003,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,2003,Stewards,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2003,Craft,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2003,Hands,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5,0.0,28
Socialist Republic of Vietnam,2003,Archive,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,2003,Flow,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2004,Helm,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2004,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2004,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,2004,Stewards,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2004,Craft,0.0,0.0,0.0,0.0,0.0,11.5,11.5,5,0.0,28
Socialist Republic of Vietnam,2004,Hands,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5,0.0,28
Socialist Republic of Vietnam,2004,Archive,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,2004,Flow,0.0,0.0,0.0,0.0,0.0,14.0,14.0,5,0.0,28
Socialist Republic of Vietnam,2005,Helm,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2005,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2005,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,2005,Stewards,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2005,Craft,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2005,Hands,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5,0.0,28
Socialist Republic of Vietnam,2005,Archive,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,2005,Flow,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2006,Helm,0.84,0.0,0.0,0.0,2.0,12.0,14.0,5,0.0,28
Socialist Republic of Vietnam,2006,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2006,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,2006,Stewards,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2006,Craft,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2006,Hands,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5,0.0,28
Socialist Republic of Vietnam,2006,Archive,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,2006,Flow,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2007,Helm,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2007,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2007,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,2007,Stewards,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2007,Craft,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2007,Hands,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5,0.0,28
Socialist Republic of Vietnam,2007,Archive,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,2007,Flow,0.0,0.0,0.0,0.0,0.0,14.0,14.0,5,0.0,28
Socialist Republic of Vietnam,2008,Helm,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2008,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2008,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,2008,Stewards,0.0,0.0,0.0,0.0,0.0,11.5,11.5,5,0.0,28
Socialist Republic of Vietnam,2008,Craft,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2008,Hands,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5,0.0,28
Socialist Republic of Vietnam,2008,Archive,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,2008,Flow,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,2009,Helm,0.84,0.0,0.0,0.0,2.0,11.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2009,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2009,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,2009,Stewards,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2009,Craft,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2009,Hands,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5,0.0,28
Socialist Republic of Vietnam,2009,Archive,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,2009,Flow,0.0,0.0,0.0,0.0,0.0,10.5,10.5,5,0.0,28
Socialist Republic of Vietnam,2010,Helm,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2010,Shield,0.0,0.45,0.45,0.45,2.0,11.5,13.5,5,0.0,28
Socialist Republic of Vietnam,2010,Lore,0.0,0.0,0.0,0.55,0.5,9.0,9.5,5,0.0,28
Socialist Republic of Vietnam,2010,Stewards,0.45,0.45,0.55,0.45,3.5,8.0,11.5,5,0.0,28
Socialist Republic of Vietnam,2010,Craft,0.45,0.0,0.0,0.45,1.5,8.0,9.5,5,0.0,28
Socialist Republic of Vietnam,2010,Hands,0.45,0.55,0.55,0.45,3.0,7.0,10.0,5,0.0,28
Socialist Republic of Vietnam,2010,Archive,0.0,0.45,0.0,0.0,1.0,8.0,9.0,5,0.0,28
Socialist Republic of Vietnam,2010,Flow,0.55,0.0,0.55,0.45,2.5,10.5,13.0,5,0.0,28
Socialist Republic of Vietnam,2011,Helm,0.0,0.0,0.55,0.0,1.0,11.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2011,Shield,0.0,0.45,0.45,0.45,2.0,11.5,13.5,5,0.0,28
Socialist Republic of Vietnam,2011,Lore,0.0,0.0,0.45,0.55,1.5,8.0,9.5,5,0.0,28
Socialist Republic of Vietnam,2011,Stewards,0.0,0.45,0.0,0.45,1.5,6.0,7.5,5,0.0,28
Socialist Republic of Vietnam,2011,Craft,0.45,0.0,0.45,0.45,1.5,8.0,9.5,5,0.0,28
Socialist Republic of Vietnam,2011,Hands,0.45,0.55,0.45,0.45,3.0,6.0,9.0,5,0.0,28
Socialist Republic of Vietnam,2011,Archive,0.0,0.45,0.0,0.0,1.0,8.0,9.0,5,0.0,28
Socialist Republic of Vietnam,2011,Flow,0.55,0.0,0.45,0.0,2.0,6.5,8.5,5,0.0,28
Socialist Republic of Vietnam,2012,Helm,0.0,0.0,0.55,0.0,1.0,11.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2012,Shield,0.0,0.55,0.45,0.45,1.5,12.0,13.5,5,0.0,28
Socialist Republic of Vietnam,2012,Lore,0.0,0.0,0.45,0.55,1.5,8.0,9.5,5,0.0,28
Socialist Republic of Vietnam,2012,Stewards,0.45,0.45,0.71,0.45,4.5,4.0,8.5,5,0.0,28
Socialist Republic of Vietnam,2012,Craft,0.45,0.55,0.45,0.45,2.5,8.0,10.5,5,0.0,28
Socialist Republic of Vietnam,2012,Hands,0.45,0.55,0.84,0.45,4.0,6.0,10.0,5,0.0,28
Socialist Republic of Vietnam,2012,Archive,0.45,0.45,0.55,0.0,3.0,6.0,9.0,5,0.0,28
Socialist Republic of Vietnam,2012,Flow,0.55,0.45,0.84,0.0,4.0,6.5,10.5,5,0.0,28
Socialist Republic of Vietnam,2013,Helm,0.55,0.0,0.55,0.0,2.0,10.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2013,Shield,0.0,0.55,0.45,0.45,1.5,12.0,13.5,5,0.0,28
Socialist Republic of Vietnam,2013,Lore,0.0,0.0,0.0,0.55,0.5,9.0,9.5,5,0.0,28
Socialist Republic of Vietnam,2013,Stewards,0.84,0.71,0.89,0.45,6.5,4.0,10.5,5,0.0,28
Socialist Republic of Vietnam,2013,Craft,0.45,0.45,0.0,0.45,2.5,8.5,11.0,5,0.0,28
Socialist Republic of Vietnam,2013,Hands,0.45,0.55,0.55,0.45,3.0,7.0,10.0,5,0.0,28
Socialist Republic of Vietnam,2013,Archive,0.45,0.45,0.45,0.55,3.5,6.0,9.5,5,0.0,28
Socialist Republic of Vietnam,2013,Flow,0.89,0.0,0.84,0.45,3.5,9.5,13.0,5,0.0,28
Socialist Republic of Vietnam,2014,Helm,0.55,0.0,0.55,0.45,2.5,10.5,13.0,5,0.0,28
Socialist Republic of Vietnam,2014,Shield,0.45,0.55,0.45,0.45,2.5,10.0,12.5,5,0.0,28
Socialist Republic of Vietnam,2014,Lore,0.0,0.0,0.0,0.55,0.5,9.0,9.5,5,0.0,28
Socialist Republic of Vietnam,2014,Stewards,0.84,0.84,0.89,0.45,6.5,4.0,10.5,5,0.0,28
Socialist Republic of Vietnam,2014,Craft,0.71,0.45,0.45,0.55,4.5,8.5,13.0,5,0.0,28
Socialist Republic of Vietnam,2014,Hands,0.45,0.55,0.55,0.45,3.0,7.0,10.0,5,0.0,28
Socialist Republic of Vietnam,2014,Archive,0.45,0.45,0.45,0.55,3.5,6.0,9.5,5,0.0,28
Socialist Republic of Vietnam,2014,Flow,0.55,0.0,0.55,0.55,2.5,10.5,13.0,5,0.0,28
Socialist Republic of Vietnam,2015,Helm,0.0,0.0,0.0,0.45,0.5,12.5,13.0,5,0.0,28
Socialist Republic of Vietnam,2015,Shield,0.0,0.55,0.55,0.45,2.5,11.0,13.5,5,0.0,28
Socialist Republic of Vietnam,2015,Lore,0.0,0.0,0.45,0.0,1.0,9.5,10.5,5,0.0,28
Socialist Republic of Vietnam,2015,Stewards,0.0,0.0,0.45,0.55,1.5,10.5,12.0,5,0.0,28
Socialist Republic of Vietnam,2015,Craft,0.0,0.45,0.45,0.0,2.0,9.5,11.5,5,0.0,28
Socialist Republic of Vietnam,2015,Hands,0.0,0.55,0.0,0.0,1.0,9.0,10.0,5,0.0,28
Socialist Republic of Vietnam,2015,Archive,0.0,0.0,0.45,0.45,1.5,9.0,10.5,5,0.0,28
Socialist Republic of Vietnam,2015,Flow,0.45,0.0,0.0,0.45,1.5,11.5,13.0,5,0.0,28
Socialist Republic of Vietnam,2016,Helm,0.0,0.0,0.0,0.45,0.5,12.5,13.0,5,0.0,28
Socialist Republic of Vietnam,2016,Shield,0.0,0.55,0.55,0.45,2.5,11.0,13.5,5,0.0,28
Socialist Republic of Vietnam,2016,Lore,0.0,0.0,0.45,0.0,1.0,9.5,10.5,5,0.0,28
Socialist Republic of Vietnam,2016,Stewards,0.0,0.0,0.45,0.55,1.0,11.0,12.0,5,0.0,28
Socialist Republic of Vietnam,2016,Craft,0.0,0.45,0.45,0.55,2.5,9.5,12.0,5,0.0,28
Socialist Republic of Vietnam,2016,Hands,0.0,0.55,0.0,0.0,1.0,9.0,10.0,5,0.0,28
Socialist Republic of Vietnam,2016,Archive,0.0,0.0,0.45,0.45,1.5,9.0,10.5,5,0.0,28
Socialist Republic of Vietnam,2016,Flow,0.0,0.45,0.0,0.84,1.5,12.5,14.0,5,0.0,28
Socialist Republic of Vietnam,2017,Helm,0.0,0.0,0.45,0.45,1.5,12.5,14.0,5,0.0,28
Socialist Republic of Vietnam,2017,Shield,0.0,0.45,0.55,0.45,2.5,11.0,13.5,5,0.0,28
Socialist Republic of Vietnam,2017,Lore,0.0,0.0,0.45,0.0,1.0,9.5,10.5,5,0.0,28
Socialist Republic of Vietnam,2017,Stewards,0.0,0.0,0.0,0.45,0.5,12.5,13.0,5,0.0,28
Socialist Republic of Vietnam,2017,Craft,0.45,0.0,0.45,0.55,2.5,10.5,13.0,5,0.0,28
Socialist Republic of Vietnam,2017,Hands,0.0,0.55,0.45,0.0,1.0,9.0,10.0,5,0.0,28
Socialist Republic of Vietnam,2017,Archive,0.0,0.0,0.45,0.0,1.0,9.5,10.5,5,0.0,28
Socialist Republic of Vietnam,2017,Flow,0.0,0.55,0.45,0.55,2.0,13.0,15.0,5,0.0,28
Socialist Republic of Vietnam,2018,Helm,0.0,0.0,0.45,0.0,1.0,13.0,14.0,5,0.0,28
Socialist Republic of Vietnam,2018,Shield,0.55,0.0,0.55,0.45,2.0,12.5,14.5,5,0.0,28
Socialist Republic of Vietnam,2018,Lore,0.0,0.0,0.45,0.0,1.0,9.5,10.5,5,0.0,28
Socialist Republic of Vietnam,2018,Stewards,0.0,0.0,0.0,0.45,0.5,12.5,13.0,5,0.0,28
Socialist Republic of Vietnam,2018,Craft,0.0,0.0,0.45,0.45,1.5,11.5,13.0,5,0.0,28
Socialist Republic of Vietnam,2018,Hands,0.0,0.55,0.45,0.45,1.5,9.0,10.5,5,0.0,28
Socialist Republic of Vietnam,2018,Archive,0.0,0.55,0.55,0.0,2.0,9.5,11.5,5,0.0,28
Socialist Republic of Vietnam,2018,Flow,0.0,0.0,0.45,0.55,1.0,14.0,15.0,5,0.0,28
Socialist Republic of Vietnam,2019,Helm,0.45,0.45,0.45,0.0,1.0,13.0,14.0,5,0.0,28
Socialist Republic of Vietnam,2019,Shield,0.55,0.0,0.55,0.45,2.0,12.5,14.5,5,0.0,28
Socialist Republic of Vietnam,2019,Lore,0.0,0.0,0.45,0.0,1.0,9.5,10.5,5,0.0,28
Socialist Republic of Vietnam,2019,Stewards,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2019,Craft,0.0,0.0,0.45,0.0,1.0,12.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2019,Hands,0.0,0.55,0.45,0.45,1.5,9.0,10.5,5,0.0,28
Socialist Republic of Vietnam,2019,Archive,0.55,0.45,0.55,0.0,3.0,9.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2019,Flow,0.55,0.0,0.45,0.55,2.0,14.0,16.0,5,0.0,28
Socialist Republic of Vietnam,2020,Helm,0.0,0.0,0.0,0.0,0.0,12.0,12.0,5,0.0,28
Socialist Republic of Vietnam,2020,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2020,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,2020,Stewards,0.0,0.0,0.0,0.55,0.5,10.5,11.0,5,0.0,28
Socialist Republic of Vietnam,2020,Craft,0.0,0.0,0.0,0.0,0.0,11.0,11.0,5,0.0,28
Socialist Republic of Vietnam,2020,Hands,0.0,0.0,0.0,0.0,0.0,7.0,7.0,5,0.0,28
Socialist Republic of Vietnam,2020,Archive,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,2020,Flow,0.45,0.0,0.0,0.0,1.0,11.0,12.0,5,0.0,28
Socialist Republic of Vietnam,2021,Helm,0.0,0.0,0.0,0.0,0.0,11.0,11.0,5,0.0,28
Socialist Republic of Vietnam,2021,Shield,0.0,0.0,0.55,0.0,1.0,11.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2021,Lore,0.0,0.0,0.0,0.0,0.0,8.5,8.5,5,0.0,28
Socialist Republic of Vietnam,2021,Stewards,0.0,0.0,0.0,0.55,0.5,8.5,9.0,5,0.0,28
Socialist Republic of Vietnam,2021,Craft,0.45,0.0,0.55,0.0,2.0,6.5,8.5,5,0.0,28
Socialist Republic of Vietnam,2021,Hands,0.45,0.0,0.55,0.0,2.0,3.0,5.0,5,0.0,28
Socialist Republic of Vietnam,2021,Archive,0.0,0.0,0.55,0.0,1.0,8.5,9.5,5,0.0,28
Socialist Republic of Vietnam,2021,Flow,0.45,0.0,0.0,0.0,1.0,6.5,7.5,5,0.0,28
Socialist Republic of Vietnam,2022,Helm,0.0,0.0,0.0,0.0,0.0,12.0,12.0,5,0.0,28
Socialist Republic of Vietnam,2022,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2022,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,2022,Stewards,1.0,0.55,0.55,0.55,4.5,7.5,12.0,5,0.0,28
Socialist Republic of Vietnam,2022,Craft,0.0,0.0,0.0,0.0,0.0,11.0,11.0,5,0.0,28
Socialist Republic of Vietnam,2022,Hands,0.0,0.0,0.0,0.0,0.0,7.0,7.0,5,0.0,28
Socialist Republic of Vietnam,2022,Archive,0.55,0.45,0.55,0.0,3.0,6.5,9.5,5,0.0,28
Socialist Republic of Vietnam,2022,Flow,0.0,0.0,0.45,0.0,1.0,12.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2023,Helm,0.45,0.55,0.84,0.0,4.0,8.0,12.0,5,0.0,28
Socialist Republic of Vietnam,2023,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2023,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,2023,Stewards,0.55,0.55,0.55,0.45,3.5,5.0,8.5,5,0.0,28
Socialist Republic of Vietnam,2023,Craft,0.0,0.0,0.0,0.0,0.0,11.0,11.0,5,0.0,28
Socialist Republic of Vietnam,2023,Hands,0.45,0.0,0.45,0.0,2.0,7.0,9.0,5,0.0,28
Socialist Republic of Vietnam,2023,Archive,0.0,0.55,0.45,0.0,2.0,5.5,7.5,5,0.0,28
Socialist Republic of Vietnam,2023,Flow,0.0,0.0,0.45,0.0,1.0,12.0,13.0,5,0.0,28
Socialist Republic of Vietnam,2024,Helm,0.84,0.55,0.84,0.45,5.5,6.5,12.0,5,0.0,28
Socialist Republic of Vietnam,2024,Shield,0.0,0.0,0.0,0.0,0.0,12.5,12.5,5,0.0,28
Socialist Republic of Vietnam,2024,Lore,0.0,0.0,0.0,0.0,0.0,9.5,9.5,5,0.0,28
Socialist Republic of Vietnam,2024,Stewards,0.84,1.1,0.89,0.89,7.0,5.0,12.0,5,0.0,28
Socialist Republic of Vietnam,2024,Craft,0.55,0.0,0.45,0.0,2.0,11.0,13.0,5,0.0,28
